"relative_path","classification","v2_sha256","v1_sha256"
"skills\useful-skills\skills\add_agent.md","SAME","9C3BD0933869FEC91052635D3503EA1E72AD814AB1A7DD68D2646716807AA237","9C3BD0933869FEC91052635D3503EA1E72AD814AB1A7DD68D2646716807AA237"
"contract-kit-v17\src\webui\hub\event_bus.py","SAME","91FBD38E5D03AABFAAC69AC57BC0A4A437ED8069D8873F4A7119F9855EE14BB5","91FBD38E5D03AABFAAC69AC57BC0A4A437ED8069D8873F4A7119F9855EE14BB5"
"contract-kit-v17\src\webui\panels\settings.js","SAME","ECA85C2C2B6E059FF9F47CC8224ACDE77163E0E4B3C8220CB895A3C347975C43","ECA85C2C2B6E059FF9F47CC8224ACDE77163E0E4B3C8220CB895A3C347975C43"
"contract-kit-v17\src\zeroclaw\adapters.py","SAME","52AAA7AE59F725E4FAE336F37DEEA5DC57C1D13270BDE305CD66B19A422176E3","52AAA7AE59F725E4FAE336F37DEEA5DC57C1D13270BDE305CD66B19A422176E3"
"skills\useful-skills\10_SKILLS_STRATEGY.md","SAME","2B9E09D6C4FC1A7C2F04E7C9947565784C3E88B51D0313CF4988D43232DC501E","2B9E09D6C4FC1A7C2F04E7C9947565784C3E88B51D0313CF4988D43232DC501E"
"skills\useful-skills\update-sdk\references\sdk-pinning-examples.md","SAME","AA965E44A158DC790B9613BB127EC87B0A4435842AFF917C29F4D60F91DBD6FA","AA965E44A158DC790B9613BB127EC87B0A4435842AFF917C29F4D60F91DBD6FA"
"contract-kit-v17\tests\integration\test_full_pipeline_integration.py","SAME","5ABDBEC44547E9139B1A96B1177628493148CEDD15F489C825417BFE19144AF0","5ABDBEC44547E9139B1A96B1177628493148CEDD15F489C825417BFE19144AF0"
"contract-kit-v17\docs\03_RUNTIME_CORE.md","SAME","DC69E5F7B1B9ED06B42ACBA0E4B71E5E60E22A77ADF3A972AF604499E50D5DEA","DC69E5F7B1B9ED06B42ACBA0E4B71E5E60E22A77ADF3A972AF604499E50D5DEA"
"skills\useful-skills\app.js","SAME","C33DC878F639811F1132FC068910CD2736F93D7A730780C310E588EACC3653C8","C33DC878F639811F1132FC068910CD2736F93D7A730780C310E588EACC3653C8"
"skills\useful-skills\versions\versions.d.ts","SAME","9070C48B418A42A3AF4EE9AA7BCD6A4EFF4FE3B26E997AC0E823028CB11B50A9","9070C48B418A42A3AF4EE9AA7BCD6A4EFF4FE3B26E997AC0E823028CB11B50A9"
