"file","line","pattern","excerpt"
"docs\diagrams\08_testing_pyramid.svg","72","100%","<text x=""285"" y=""432"" text-anchor=""middle"" fill=""#fdba74"" font-size=""9"">100% pass required</text>"
"docs\diagrams\10_service_watchdog.svg","102","PASS_AGENTIC_TRUTH","<text x=""775"" y=""481"" fill=""#fbbf24"" font-size=""11"">PASS_AGENTIC_TRUTH if down</text>"
"docs\00_MASTER_INDEX.md","54","100%","| [VISUAL_TEST_CHECKLIST.md](../VISUAL_TEST_CHECKLIST.md)   | 🟢      | 100% visual coverage list.                      "
"docs\01_ECOSYSTEM_OVERVIEW.md","7","100%","<img src=""diagrams/01_ecosystem_topology.svg"" alt=""Ecosystem Topology"" width=""100%""/>"
"docs\01_ECOSYSTEM_OVERVIEW.md","49","PASS_AGENTIC_TRUTH","**Required services** block `PASS_AGENTIC_TRUTH` if down."
"docs\02_WEBUI_HUB.md","6","100%","<img src=""diagrams/02_webui_panels.svg"" alt=""WebUI Panels"" width=""100%""/>"
"docs\03_RUNTIME_CORE.md","85","100%","<img src=""diagrams/04_provider_circuit.svg"" alt=""Provider Circuit Breaker"" width=""100%""/>"
"docs\04_HERMES_ORCHESTRATOR.md","7","100%","<img src=""diagrams/06_hermes_agents.svg"" alt=""Hermes Agent Architecture"" width=""100%""/>"
"docs\05_KILOCODE_VSIX.md","136","100%","<img src=""diagrams/06_hermes_agents.svg"" alt=""21-Agent Family"" width=""100%""/>"
"docs\06_ZEROCLAW_ADAPTERS.md","6","100%","<img src=""diagrams/03_data_flow.svg"" alt=""Data Flow"" width=""100%""/>"
"docs\07_TESTING_GUIDE.md","3","100%","<img src=""diagrams/08_testing_pyramid.svg"" alt=""Testing Pyramid"" width=""100%""/>"
"docs\08_DEPLOYMENT.md","3","100%","<img src=""diagrams/07_deployment_topology.svg"" alt=""Deployment Topology"" width=""100%""/>"
"docs\10_DEVELOPER_GUIDE.md","189","production-ready","| `main` | Production-ready, all gates must pass |"
"docs\10_DEVELOPER_GUIDE.md","246","100%","2. Embed in relevant `.md` with `<img src=""diagrams/<name>.svg"" width=""100%""/>`"
"docs\11_SKILLS_AND_SERVICES.md","13","100%","<img src=""diagrams/09_skills_lifecycle.svg"" alt=""Skills System Lifecycle"" width=""100%""/>"
"docs\12_TRUTH_AND_PROOF.md","11","100%","<img src=""diagrams/10_service_watchdog.svg"" alt=""Service Lifecycle Watchdog (verified by V81)"" width=""100%""/>"
