role,classification,path,exists,is_git_repo,branch,head_sha,ahead_count,behind_count,stash_count,dirty,last_commit_date,origin,upstream,notes
contract-kit-v17 / WebUI / Hub,SOURCE_OF_TRUTH_WEBUI_HUB_CONTRACTKIT,G:\Github\contract-kit-v17,True,True,integration/main,ca5d8f0d94ce328b227ae2d3b59f39ae518670fb,0,0,0,True,2026-04-23T00:42:02-07:00,https://github.com/Ghenghis/contract-kit-v17.git,,Holds Hub v2 (21 routers) + WebUI panels + docs v2.1.0 + skills/ seed + audit gates V79/V80/V81. 0/0 vs origin. Dirty due to active doc work.
KiloCode VS Code extension,ACTIVE_KILOCODE_REPO,G:\Github\kilocode-Azure2,True,True,feat/azure-voice-studio,67bd133d6e87683414b8b7e6746aa772aecaa82d,491,0,1,True,2026-04-24T01:07:41-07:00,https://github.com/Ghenghis/kilocode.git,https://github.com/Kilo-Org/kilocode.git,"491 ahead origin/feat/azure-voice-studio. 3304/31 vs origin/main. 70/385 vs upstream/main (Kilo-Org has ~385 new commits we're missing). 1 stash pending. Has 81 audit gates V01-V81 and 21 agent .md files."
ZeroClaw active fileset,ACTIVE_ZEROCLAW_FILESET_OR_REPO,C:\Users\Admin\Downloads\VPS\zeroclaw,True,False,,,,,,True,,,,"Full Rust ZeroClaw source: Cargo.toml + crates/ + src/ + app/ + components/ + fuzz/ + firmware/ + docs/ (4 README locales) + Dockerfile + AGENTS.md + CLAUDE.md. No .git of its own. Needs git init + remote=Ghenghis/zeroclaw + initial commit + push."
ZeroClaw config sidecar,ACTIVE_ZEROCLAW_CONFIG,C:\Users\Admin\Downloads\VPS\zeroclaw-config,True,False,,,,,,False,,,,"Tiny config dir (2 files, ~0 MB). Bundle with zeroclaw/ on first commit."
VPS deployment workspace (parent),VPS_DEPLOYMENT_WORKSPACE,C:\Users\Admin\Downloads\VPS,True,True-empty-init,master,no-commits,,,0,True,,,,"git init done but no commits and no remotes. Contains zeroclaw/ + zeroclaw-config/ + hermes_folder/ + daveai/ + daveai-api/ + daveai-v7/ + agentic-ui/ + agent-brain/ + code/ + scripts/ + docs/ + nginx/ + configs/ + plans/. Plus loose deploy artefacts (.png screenshots, AUDIT_RESULTS.txt, deploy-result.txt, cloudflared.exe). DO NOT discard - this is the live VPS staging workspace."
Hermes active fileset,ACTIVE_HERMES_FILESET,G:\Github\hermes-agent-2026.4.13\hermes-agent-2026.4.13,True,False,,,,,,False,,,,"Full Hermes source: 30 top-level dirs (acp_adapter + acp_registry + agent + gateway + hermes_cli + plugins + skills + src + tests + tinker-atropos + tools + web + website). 5257 files / 167.8 MB. Contains AGENTS.md + Dockerfile + flake.nix + pyproject.toml + RELEASE_v0.2.0 ... v0.9.0.md + setup-hermes.sh. Use as basis for fresh clone diff against Ghenghis/hermes-agent."
Hermes outer wrapper,FILESET_DUPLICATE_WRAPPER,G:\Github\hermes-agent-2026.4.13,True,False,,,,,,False,,,,"Outer wrapper containing the nested ACTIVE_HERMES_FILESET above plus extras (6945 files / 206.7 MB total - inner copy is 5257 / 167.8 MB so wrapper adds ~38 MB). After auditing the delta (1688 files diff), keep nested as canonical and archive the wrapper."
Hermes legacy partial,FILESET_STALE_HERMES,G:\Github\hermes-agent,True,False,,,,,,False,,,,"Smaller Hermes copy (1663 files / 30.1 MB). Likely an older partial. Diff against ACTIVE_HERMES_FILESET; archive after delta audit."
ZeroClaw clone target #1,MISSING_CLONE_TARGET,G:\Github\zeroclaw,False,False,,,,,,,,,,"Future home for git clone of Ghenghis/zeroclaw OR after ZeroClaw fileset is committed and pushed, clone back here."
ZeroClaw clone target #2,MISSING_CLONE_TARGET,G:\Github\zeroclaw-current,False,False,,,,,,,,,,"Future working copy."
Open-WebUI clone target #1,MISSING_CLONE_TARGET,G:\Github\open-webui,False,False,,,,,,,,,,"Clone Ghenghis/open-webui."
Open-WebUI clone target #2,MISSING_CLONE_TARGET,G:\Github\open-webui-current,False,False,,,,,,,,,,"Working copy clone."
Secrets / API keys / env files,SECRET_ENV_SOURCE_DO_NOT_COMMIT,C:\Users\Admin\Downloads\api,True,False,,,,,,False,,,,"21 files / 0.3 MB. Plaintext: .env + .env-Azure + .env-test + .env.contract-kit + .env.github + API_KEYS_VERIFICATION.md + github.txt + hf-token.txt + minimax.txt + siliconflow.txt. NEVER commit. Import into vscode.SecretStorage (KiloCode), Hub canonical settings (server-side only at :8082), and Hermes systemd env file (mode 0600). Encrypted-archive then delete plaintext."
DaveAI repack v2 (current),CURRENT_REPACK,G:\Github\contract-kit-v17\DaveAI_Ecosystem_Truth_Skills_Repack-v2,True,False,,,,,,False,,,,"535 files / 43.3 MB. 6 top dirs: agentic-truth + audits + contract-kit-v17 + install + manifests + skills + zip + README.md. Compare against v1 sibling (REPACK_MERGE_MANIFEST.csv)."
DaveAI repack v1 (stale),STALE_REPACK,G:\Github\DaveAI_Ecosystem_Truth_Skills_Repack,True,False,,,,,,False,,,,"536 files / 53.3 MB. Older sibling to v2. Diff against v2 then archive."
